NCH_SYMBOL, NCH_PREV_NAME, NCH_NEW_NAME, NCH_DT
IIFLFIN,India Infoline Investment Services Limited,India Infoline Finance Limited,27-AUG-2012
IL&FSENGG,Maytas Infra Limited,IL&FS Engineering and Construction Company Limited,08-FEB-2011
IMAGICAA,Adlabs Entertainment Limited,Imagicaaworld Entertainment Limited,22-APR-2020
INCREDIBLE,Adhunik Industries Limited,INCREDIBLE INDUSTRIES LIMITED,20-MAY-2021
INDIAPHOTO,INDIA PHOTOGRAPHIC CO. LTD.,Kodak India Limited,04-JUL-1996
INDLMETER,Industrial Meters Limited,IMP Powers Limited,01-DEC-1998
INDOGULF,Indo Gulf Fertilizers & Chemicals Corpn. Ltd.,Indo Gulf Corporation Limited,02-SEP-1998
INDUSTOWER,Bharti Infratel Limited,Indus Towers Limited,18-DEC-2020
INDYESTUF,Indian Dyestuff Industries Ltd,IDI Limited,11-AUG-1999
INEOSSTYRO,Styrolution ABS (India) Limited,INEOS Styrolution India Limited,04-APR-2016
INF223J010,Deutsche MF - DWS FMP Series 70 - RP-QDPO,DHFL Pramerica MF - FMP Series 70 - RP-QDPO,08-MAR-2016
INF223J011,Deutsche MF - DWS FMP Series 70 - RP-ADPO,DHFL Pramerica MF - FMP Series 70 - RP-ADPO,08-MAR-2016
INF223J012,Deutsche MF - DWS FMP Series 70 - RP-GO,DHFL Pramerica MF - FMP Series 70 - RP-GO,08-MAR-2016
INFIBEAM,Infibeam Incorporation Limited,Infibeam Avenues Limited,13-AUG-2018
INFOMEDIA,Infomedia 18 Limited,INFOMEDIA PRESS LIMITED,08-OCT-2012
INFRABEES,Reliance ETF Infra BeES,NIPPON INDIA ETF INFRA BEES,30-OCT-2019
INFY,Infosys Technologies Limited,Infosys Limited,29-JUN-2011
INGVYSYABK,Vysya Bank Ltd,ING Vysya Bank Limited,17-MAR-2003
INSPIRISYS,Accel Frontline Limited,Inspirisys Solutions Limited,12-OCT-2018
INTCOMTECH,International Comptech Engineering Services Ltd,ICES Software Limited,28-MAR-2001
INVELTRANS,GKN Invel Transmission Ltd,GKN Driveshafts (India) Limited,30-JUN-2000
IOLN,IOL Broadband Limited,IOL Netcom Limited,18-FEB-2008
ITDCEM,Skanska Cementation India Limited,ITD Cementation India Limited,16-AUG-2005
IVC,IL & FS Venture Corporation Ltd.,IL&FS Investment Managers Limited,06-JAN-2003
IVRCLAH,IVR Prime Urban Developers Limited,IVRCL Assets & Holdings Limited,13-APR-2010
IVRCLINFRA,IVRCL Infrastructures & Projects Limited,IVRCL Limited,20-APR-2011
IVZINA1BDG,Religare Invesco MF - Religare Invesco AIF - Sr 1 - Pl B - DS-P-GO,Invesco MF – Invesco India AIF - Sr 1 - Pl B - DS-P-GO,23-JUN-2016
IVZINA1BRG,Religare Invesco MF - Religare Invesco AIF - Sr 1 - Pl B - RS-P-GO,Invesco MF – Invesco India AIF - Sr 1 - Pl B - RS-P-GO,23-JUN-2016
IVZINGOLD,Religare Invesco Gold Exchange Traded Fund,Invesco India Gold Exchange Traded Fund,23-JUN-2016
IVZINNIFTY,Religare Invesco Nifty Exchange Traded Fund,Invesco India Nifty Exchange Traded Fund,23-JUN-2016
IZMO,Logix Microsystems Limited,IZMO Limited,15-MAY-2015
JAIBALAJI,Jai Balaji Sponge Limtied,Jai Balaji Industries Limited,10-AUG-2007
JAYNECOIND,Jayaswals Neco Limited,Jayaswal Neco Industries Limited,22-FEB-2008
JBMA,JBM Auto Components Limited,JBM Auto Limited,04-JAN-2006
JCHAC,Hitachi Home and Life Solutions (India) Limited,Johnson Controls – Hitachi Air Conditioning India Limited,12-SEP-2016
JDORGO,Jaysynth Dyechem Ltd,JD Orgochem Limited,13-SEP-2004
JINDALDRIL,Jindal Drilling Industries Ltd,Jindal Drilling And Industries Limited,20-SEP-2004
JINDALFOTO,Jindal Photo Films Ltd.,Jindal Photo Limited,29-JAN-2004
JINDALPOLY,Jindal Polyester Ltd,Jindal Poly Films Limited,06-SEP-2004
JINDALSAW,Saw Pipes Ltd.,Jindal Saw Limited,18-FEB-2005
JKTYRE,J.K.Industries Limited,JK Tyre & Industries Limited,23-MAY-2007
JPPOWER,Jaiprakash Hydro-Power Limited,Jaiprakash Power Ventures Limited,08-JAN-2010
JSL,JSL Stainless Limited,Jindal Stainless Limited,21-DEC-2011
JSWHL,Jindal South West Holdings Limited,JSW Holdings Limited,30-JUL-2013
JSWISPAT,Ispat Industries Limited,JSW ISPAT Steel Limited,16-AUG-2011
JSWISPL,Monnet Ispat & Energy Limited,JSW Ispat Special Products Limited,12-OCT-2020
JSWSTEEL,Jindal Vijayanagar Steel Limited,JSW Steel Limited,16-SEP-2005
JTEKTINDIA,Sona Koyo Steering Systems Limited,Jtekt India Limited,23-APR-2018
JTEKTINDIA,Sona Koyo Steering Systems Limited,JTEKT India Limited,23-APR-2018
JUBLPHARMA,Jubilant Life Sciences Limited,Jubilant Pharmova Limited,12-FEB-2021
JUNIORBEES,Reliance ETF Junior BeES,NIPPON INDIA ETF JUNIOR BEES,30-OCT-2019
JYOTHYLAB,Jyothy Laboratories Limited,Jyothy Labs Limited,22-JUL-2019
KAKATCEM,Kakatiya Cements Ltd,Kakatiya Cement Sugar & Industries Limited,03-FEB-1999
KAMDHENU,Kamdhenu Ispat Limited,Kamdhenu Limited,22-MAR-2016
KANSAINER,Goodlass Nerolac Paints  Ltd,Kansai Nerolac Paints Limited,26-JUL-2006
KELVINATOR,Kelvinator of India Ltd.,Whirlpool of India Limited,20-NOV-1996
KENNAMET,Widia (India) Limited,Kennametal India Limited,19-AUG-2019
KEYFINSERV,Keynote Corporate Services Limited,Keynote Financial Services Limited,03-MAY-2019
KFA,Deccan Aviation Limited,Kingfisher Airlines Limited,06-OCT-2008
KGL,Karuturi Networks Limited,Karuturi Global Limited,20-NOV-2008
KHAIHOSTOM,KHAITAN HOSTOMBE SPINELS LTD.,KHSL Industries Limited,04-JUL-1996
KHATJUNKER,Khatau Junker Ltd,Indokem Limited,14-FEB-1997
KINETICMOT,Kinetic Honda Motors Ltd,Kinetic Motor Company Limited,20-SEP-2004
KIRIINDUS,Kiri Dyes and Chemicals Limited,Kiri Industries Limited,28-MAR-2011
KIRLOSIND,Kirloskar Oil Engines Limited,Kirloskar Industries Limited,02-JUL-2010
KOHINOOR,Satnam Overseas Ltd,Kohinoor Foods Limited,18-AUG-2006
KOKUYOCMLN,Camlin Limited,Kokuyo Camlin Limited,14-FEB-2012
KOPDRUGS,Kopran Drugs Limited,KDL Biotech Limited,23-AUG-2000
KOTAKBANK,Kotak Mahindra Finance Ltd.,Kotak Mahindra Bank Limited,21-APR-2003
KREBSBIO,Krebs Biochemicals Limited,Krebs Biochemicals and Industries Limited,27-OCT-2016
KSB,KSB Pumps Limited,Ksb Limited,23-OCT-2018
KSERASERA,K Sera Sera Limited,KSS Limited,01-MAR-2013
KWALITY,Kwality Dairy (India) Limited,kwality limited,10-OCT-2013
LEEL,Lloyd Electric & Engineering Limited,LEEL Electricals Limited,19-JUN-2017
LIBAS,Libas Designs Limited,Libas Consumer Products Limited,24-NOV-2020
LICMFC4D,LIC NOMURA MF - LIC Nomura MF CPOF Sr 4 - RP-DPO,LIC MF - LIC MF CPOF Sr 4 - RP-DPO,08-JUL-2016
LICMFC4G,LIC NOMURA MF - LIC Nomura MF CPOF Sr 4 - RP-GO,LIC MF - LIC MF CPOF Sr 4 - RP-GO,08-JUL-2016
LICMFC4G1,LIC NOMURA MF - LIC Nomura MF CPOF Sr 4 - DP-GO,LIC MF - LIC MF CPOF Sr 4 - DP-GO,08-JUL-2016
LICNETFGSC,LIC NOMURA MF - LIC NOMURA MF G-sec LT ETF - GO,LIC MF - LIC MF G-sec LT ETF - GO,08-JUL-2016
LICNETFN50,LIC NOMURA MF - LIC NOMURA MF EXCHANGE TRADED FUND - NIFTY 50,LIC MF - LIC MF EXCHANGE TRADED FUND - NIFTY 50,08-JUL-2016
LICNETFSEN,LIC NOMURA Mutual Fund - LIC NOMURA MF EXCHANGE TRADED FUND - SENSEX,LIC Mutual Fund - LIC MF EXCHANGE TRADED FUND - SENSEX,08-JUL-2016
LICNFA1D1,LIC NOMURA MF - LIC Nomura MF DAFTP - S 1 - DP - DPO,LIC MF - LIC MF DAFTP - S 1 - DP - DPO,08-JUL-2016
LICNFA1DP,LIC NOMURA MF - LIC Nomura MF DAFTP - S 1 - RP - DPO,LIC MF - LIC MF DAFTP - S 1 - RP - DPO,08-JUL-2016
LICNFA1G1,LIC NOMURA MF - LIC Nomura MF DAFTP - S 1 - DP - GO,LIC MF - LIC MF DAFTP - S 1 - DP - GO,08-JUL-2016
LICNFA2D1,LIC NOMURA MF - LIC Nomura MF Dual Adv FTP Sr 2 - DP-DPO,LIC MF - LIC MF Dual Adv FTP Sr 2 - DP-DPO,08-JUL-2016
LICNFA2DP,LIC NOMURA MF - LIC Nomura MF Dual Adv FTP Sr 2 - RP-DPO,LIC MF - LIC MF Dual Adv FTP Sr 2 - RP-DPO,08-JUL-2016
LICNFA2G1,LIC NOMURA MF - LIC Nomura MF Dual Adv FTP Sr 2 - DP-GO,LIC MF - LIC MF Dual Adv FTP Sr 2 - DP-GO,08-JUL-2016
LICNFA2GP,LIC NOMURA MF - LIC Nomura MF Dual Adv FTP Sr 2 - RP-GO,LIC MF - LIC MF Dual Adv FTP Sr 2 - RP-GO,08-JUL-2016
LICNFA3D1,LIC NOMURA MF - LIC Nomura MF Dual Adv FTP Sr 3 - DP-DPO,LIC MF - LIC MF Dual Adv FTP Sr 3 - DP-DPO,08-JUL-2016
LICNFA3DP,LIC NOMURA MF - LIC Nomura MF Dual Adv FTP Sr 3 - RP-DPO,LIC MF - LIC MF Dual Adv FTP Sr 3 - RP-DPO,08-JUL-2016
LICNFA3G1,LIC NOMURA MF - LIC Nomura MF Dual Adv FTP Sr 3 - DP-GO,LIC MF - LIC MF Dual Adv FTP Sr 3 - DP-GO,08-JUL-2016
LICNFA3GP,LIC NOMURA MF - LIC Nomura MF Dual Adv FTP Sr 3 - RP-GO,LIC MF - LIC MF Dual Adv FTP Sr 3 - RP-GO,08-JUL-2016
LICNFC1D1,LIC NOMURA MF- LIC Nomura MF CPOF Sr 1 - Di -DP,LIC MF- LIC MF CPOF Sr 1 - Di -DP,08-JUL-2016
LICNFC1DP,LIC NOMURA MF - LIC Nomura MF CPOF Sr 1 -RP- DP,LIC MF - LIC MF CPOF Sr 1 -RP- DP,08-JUL-2016
LICNFC1G1,LIC NOMURA MF- LIC Nomura MF CPOF Sr 1 - DP - G,LIC MF- LIC MF CPOF Sr 1 - DP - G,08-JUL-2016
LICNFC1GP,LIC NOMURA MF - LIC Nomura MF CPOF Sr 1 - RP - G,LIC MF - LIC MF CPOF Sr 1 - RP - G,08-JUL-2016
LICNFC2D1D,LIC NOMURA Mutual Fund - LIC NOMURA Mutual Fund Capital Protection Ori,LIC Mutual Fund - LIC Mutual Fund Capital Protection Ori,08-JUL-2016
LICNFC2DPD,LIC NOMURA Mutual Fund - LIC NOMURA Mutual Fund Capital Protection Ori,LIC Mutual Fund - LIC Mutual Fund Capital Protection Ori,08-JUL-2016
LICNFC2G1G,LIC NOMURA Mutual Fund - LIC NOMURA Mutual Fund Capital Protection Ori,LIC Mutual Fund - LIC Mutual Fund Capital Protection Ori,08-JUL-2016
LICNFC2GPG,LIC NOMURA Mutual Fund - LIC NOMURA Mutual Fund Capital Protection Ori,LIC Mutual Fund - LIC Mutual Fund Capital Protection Ori,08-JUL-2016
LICNFC3D1D,LIC NOMURA Mutual Fund - LIC Nomura MF CPOF Series 3 - DP-DPO,LIC Mutual Fund - LIC MF CPOF Series 3 - DP-DPO,08-JUL-2016
LICNFC3DPD,LIC NOMURA Mutual Fund - LIC Nomura MF CPOF Series 3 - RP-DPO,LIC Mutual Fund - LIC MF CPOF Series 3 - RP-DPO,08-JUL-2016
LICNFC3G1G,LIC NOMURA Mutual Fund - LIC Nomura MF CPOF Series 3 - DP-GO,LIC Mutual Fund - LIC MF CPOF Series 3 - DP-GO,08-JUL-2016
LICNFC3GPG,LIC NOMURA Mutual Fund - LIC Nomura MF CPOF Series 3 - RP-GO,LIC Mutual Fund - LIC MF CPOF Series 3 - RP-GO,08-JUL-2016
LICNFC5D,LIC NOMURA MF - LIC Nomura MF CPOF - Sr 5 - RP-DPO,LIC MF - LIC MF CPOF - Sr 5 - RP-DPO,08-JUL-2016
LICNFC5D1,LIC NOMURA MF - LIC Nomura MF CPOF - Sr 5 - DP-DPO,LIC MF - LIC MF CPOF - Sr 5 - DP-DPO,08-JUL-2016
LICNFC5G,LIC NOMURA MF - LIC Nomura MF CPOF - Sr 5 - RP-GO,LIC MF - LIC MF CPOF - Sr 5 - RP-GO,08-JUL-2016
LICNFC5G1,LIC NOMURA MF - LIC Nomura MF CPOF - Sr 5 - DP-GO,LIC MF - LIC MF CPOF - Sr 5 - DP-GO,08-JUL-2016
LICNFD1D,LIC NOMURA MF - LIC NOMURA MF DIV EQ FUND Sr. 1 Reg. Pl. Div. Pay.,LIC MF - LIC MF DIV EQ FUND Sr. 1 Reg. Pl. Div. Pay.,08-JUL-2016
LICNFD1D1,LIC NOMURA MF - LIC NOMURA MF DIV EQ FUND Sr. 1 Dir. Div. Pay.,LIC MF - LIC MF DIV EQ FUND Sr. 1 Dir. Div. Pay.,08-JUL-2016
LICNFD1G,LIC NOMURA MF - LIC NOMURA MF DIV EQ FUND Sr. 1  Reg. Pl. Growth,LIC MF - LIC MF DIV EQ FUND Sr. 1  Reg. Pl. Growth,08-JUL-2016
LICNFD1G1,LIC NOMURA MF - LIC NOMURA MF DIV EQ FUND Sr. 1 Dir. Pl. Growth,LIC MF - LIC MF DIV EQ FUND Sr. 1 Dir. Pl. Growth,08-JUL-2016
LICNFD2D,LIC NOMURA MF - LIC NOMURA MF DEF Series 2 - RP-DPO,LIC MF - LIC MF DEF Series 2 - RP-DPO,08-JUL-2016
LICNFD2D1,LIC NOMURA MF - LIC NOMURA MF DEF Series 2 - DP-DPO,LIC MF - LIC MF DEF Series 2 - DP-DPO,08-JUL-2016
LICNFD2G,LIC NOMURA MF - LIC NOMURA MF DEF Series 2 - RP-GO,LIC MF - LIC MF DEF Series 2 - RP-GO,08-JUL-2016
LICNFD2G1,LIC NOMURA MF - LIC NOMURA MF DEF Series 2 - DP-GO,LIC MF - LIC MF DEF Series 2 - DP-GO,08-JUL-2016
LICNFE9D,LIC NOMURA MF - FMP Series 89 - Regular Dividend,LIC MF - FMP Series 89 - Regular Dividend,08-JUL-2016
LICNFE9G,LIC NOMURA MF - FMP Series 89 - Regular Growth,LIC MF - FMP Series 89 - Regular Growth,08-JUL-2016
LICNFE9G1,LIC NOMURA MF - FMP Series 89 - Direct Growth,LIC MF - FMP Series 89 - Direct Growth,08-JUL-2016
LICNFER2G,LIC NOMURA MF - LICNMF - FMP -  Sr 82 - RP - GO,LIC MF - LICMF - FMP -  Sr 82 - RP - GO,08-JUL-2016
LICNFER2G1,LIC NOMURA MF - LICNMF - FMP -  Sr 82 - DP - GO,LIC MF - LICMF - FMP -  Sr 82 - DP - GO,08-JUL-2016
LICNFER3G,LIC NOMURA MF - LICNMF - FMP - S 83 - RP - GO,LIC MF - LICMF - FMP - S 83 - RP - GO,08-JUL-2016
LICNFER3G1,LIC NOMURA MF - LICNMF - FMP - S 83 - DP - GO,LIC MF - LICMF - FMP - S 83 - DP - GO,08-JUL-2016
LICNFER6D,LIC NOMURA MFund - LIC Nomura MF FMP - S 86 - RP - DPO,LIC MFund - LIC MF FMP - S 86 - RP - DPO,08-JUL-2016
LICNFER6G,LIC NOMURA MFund - LIC Nomura MF FMP - S 86 - RP - GO,LIC MFund - LIC MF FMP - S 86 - RP - GO,08-JUL-2016
LICNFER6G1,LIC NOMURA MFund - LIC Nomura MF FMP - S 86 - DP - GO,LIC MFund - LIC MF FMP - S 86 - DP - GO,08-JUL-2016
LICNFLR2D,LIC NOMURA MF - LIC NOMURA MF FMP -  S 72 - RP - DPO,LIC MF - LIC MF FMP -  S 72 - RP - DPO,08-JUL-2016
LICNFLR2D1,LIC NOMURA MF - LIC NOMURA MF FMP -  S 72 - DP - DPO,LIC MF - LIC MF FMP -  S 72 - DP - DPO,08-JUL-2016
LICNFLR2G,LIC NOMURA MF - LIC NOMURA MF FMP -  S 72 - RP - GO,LIC MF - LIC MF FMP -  S 72 - RP - GO,08-JUL-2016
LICNFLR2G1,LIC NOMURA MF - LIC NOMURA MF FMP -  S 72 - DP - GO,LIC MF - LIC MF FMP -  S 72 - DP - GO,08-JUL-2016
LICNFN0D,LIC NOMURA MF - LIC Nomura MF FMP Series 90 - RP-DPO,LIC MF - LIC MF FMP Series 90 - RP-DPO,08-JUL-2016
LICNFN0D1,LIC NOMURA MF - LIC Nomura MF FMP Series 90 - DP-DPO,LIC MF - LIC MF FMP Series 90 - DP-DPO,08-JUL-2016
LICNFN0G,LIC NOMURA MF - LIC Nomura MF FMP Series 90 - RP-GO,LIC MF - LIC MF FMP Series 90 - RP-GO,08-JUL-2016
LICNFN0G1,LIC NOMURA MF - LIC Nomura MF FMP Series 90 - DP-GO,LIC MF - LIC MF FMP Series 90 - DP-GO,08-JUL-2016
LICNFN2D,LIC NOMURA MF - LIC Nomura MF FMP Series 92 - RP-DPO,LIC MF - LIC MF FMP Series 92 - RP-DPO,08-JUL-2016
LICNFN2G,LIC NOMURA MF - LIC Nomura MF FMP Series 92 - RP-GO,LIC MF - LIC MF FMP Series 92 - RP-GO,08-JUL-2016
LICNFN2G1,LIC NOMURA MF - LIC Nomura MF FMP Series 92 - DP-GO,LIC MF - LIC MF FMP Series 92 - DP-GO,08-JUL-2016
LICNFNHGP,LIC NOMURA MF - LIC NOMURA MF ETF - Nifty 100,LIC MF - LIC MF ETF - Nifty 100,08-JUL-2016
LICNFR2D1,LIC NOMURA MF - LIC NOMURA RGESS Fund Sr 2 - DP-DPO (Op B),LIC MF - LIC RGESS Fund Sr 2 - DP-DPO (Op B),08-JUL-2016
LICNFR2DP,LIC NOMURA MF - LIC NOMURA RGESS Fund Sr 2 - RP-DPO (Op B),LIC MF - LIC RGESS Fund Sr 2 - RP-DPO (Op B),08-JUL-2016
LICNFR2G1,LIC NOMURA MF - LIC NOMURA RGESS Fund Sr 2 - DP-GO (Op A),LIC MF - LIC RGESS Fund Sr 2 - DP-GO (Op A),08-JUL-2016
LICNFR2GP,LIC NOMURA MF - LIC NOMURA RGESS Fund Sr 2 - RP-GO (Op A),LIC MF - LIC RGESS Fund Sr 2 - RP-GO (Op A),08-JUL-2016
LICNFR3D,LIC NOMURA MF - LIC Nomura MF Rajiv Gandhi ESS Sr 3 - RP-DPO  Regular,LIC MF - LIC MF Rajiv Gandhi ESS Sr 3 - RP-DPO  Regular,08-JUL-2016
LICNFR3D1,LIC NOMURA MF - LIC Nomura MF Rajiv Gandhi ESS Sr 3 - DP-DPO  Direct -,LIC MF - LIC MF Rajiv Gandhi ESS Sr 3 - DP-DPO  Direct -,08-JUL-2016
LICNFR3G,LIC NOMURA MF - LIC Nomura MF Rajiv Gandhi ESS Sr 3 - RP-GO  Regular P,LIC MF - LIC MF Rajiv Gandhi ESS Sr 3 - RP-GO  Regular P,08-JUL-2016
LICNFR3G1,LIC NOMURA MF - LIC Nomura MF Rajiv Gandhi ESS Sr 3 - DP-GO  Direct Pl,LIC MF - LIC MF Rajiv Gandhi ESS Sr 3 - DP-GO  Direct Pl,08-JUL-2016
LICNMF46D,LIC Mutual Fund - LIC MF FMP - Series 46 - Dividend payout,LIC NOMURA MF FMP - Series 46 - Dividend payout,13-JUL-2011
LICNMF46G,LIC Mutual Fund - LIC MF FMP - Series 46 - Growth,LIC NOMURA MF FMP - Series 46 - Growth,13-JUL-2011
LINDEINDIA,BOC India Limited,Linde India Limited,10-APR-2013
LIQUIDBEES,Reliance ETF Liquid BeES,NIPPON INDIA ETF LIQUID BEES,30-OCT-2019
LIQUIDETF,DSP BLACKROCK LIQUID  ETF,DSP LIQUID ETF,25-SEP-2018
LOTTEINDIA,Parrys Confectionery Ltd.,Lotte India Corporation Limited,17-DEC-2004
LOTUSEYE,Lotus Eye Care Hospital Limited,Lotus Eye Hospital and Institute Limited,16-OCT-2017
LTFMPS6ED,Fidelity Mutual Fund - Fidelity Fixed Maturity Plan -SVI- PlanE- DP,L&T Fixed Maturiy Plan Series - VI Plan F,14-JAN-2013
LTFMPS6EG,Fidelity Mutual Fund - Fidelity Fixed Maturity Plan -SVI- PlanE-Growth,L&T Fixed Maturity Plane Series - VI Plan E,14-JAN-2013
LTFMPS6FG,Fidelity Mutual Fund - Fidelity Fixed Maturity Plan -SVI-Plan F-Growth,L&T Fixed Maturity Plan Series - VI Plan F,14-FEB-2013
MAANALU,Man Aluminium Limited,Maan Aluminium Limited,16-MAR-2011
MADURACOAT,Coats Viyella India Ltd,Madura Coats Limited,14-JUL-1998
MAGMA,Magma Shrachi Finance Limited,Magma Fincorp Limited,01-SEP-2008
MAHAINTL,Maharaja International Ltd,Electrolux Kelvinator Limited,11-AUG-1999
MAHENDSUIT,Mahendra Suitings Ltd,Mahendra Petrochemicals Limited,01-DEC-1998
MAHINDCIE,Mahindra Forgings Limited,Mahindra CIE Automotive Limited,17-DEC-2013
MAHLIFE,Mahindra Gesco Developers Limited,Mahindra Lifespace Developers Limited,23-NOV-2007
MANALIPETC,Manali Petrochemical Limited,Manali Petrochemicals Limited,29-NOV-2011
MANAPPURAM,Manappuram General Finance & Leasing Limited,Manappuram Finance Limited,08-AUG-2011
MANINDS,MAN ALUMINIUM LTD.,Man Industries (India) Limited,04-JUL-1996
MARICO,Marico Industries Ltd.,Marico Limited,14-JUN-2005
MARKSANS,Tasc Pharmaceuticals Limited,Marksans Pharma Limited,14-NOV-2005
MARNITPOLY,Marnite Polycast Ltd,MPL Corporation Limited,23-JUN-1998
MARUTI,Maruti Udyog Limited,Maruti Suzuki India Limited,29-OCT-2007
MCDOWELL-N,Mcdowell & Company Limited,United Spirits Limited,27-DEC-2006
MERCATOR,Mercator Lines Limited,Mercator Limited,08-DEC-2011
METALFORGE,Ahmednagar Forgings Limited,Metalyst Forgings Limited,01-JUN-2015
METAZINC,Metazinc (I) Ltd,MTZ (India) Limited,26-NOV-1997
METKORE,Cronimet Alloys India Limited,Metkore Alloys & Industries Limited,02-APR-2012
MFSL,Max India Limited,Max Financial Services Limited,26-FEB-2016
MICRO,Hindustan Inks And Resins Ltd,Micro Inks Limited,26-MAR-2004
MINDTREE,MindTree Consulting Limited,MindTree Limited,06-MAY-2008
MIRZAINT,Mirza Tanners Ltd.,Mirza International Limited,05-JUL-2006
MODERNWOOL,Modern Woollens Ltd.,Modern Terry Towels Limited,26-JUN-1996
MODITHREAD,MODI THREADS LTD.,MODI TELEFIBERS LTD.,05-JUL-1996
MODITHREAD,MODI THREADS LTD.,Modi Telefibers Limited,05-JUL-1996
MOHINI,Mohini Fibers Limited,Mohini Health & Hygiene Limited,06-OCT-2017
MOHOTAIND,Raisaheb Reckhchand Mohota Spinning & Weaving Mills Limited,Mohota Industries Limited,26-DEC-2017
MOM100,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M100 ETF GO,Motilal Oswal Mutual Fund - Motilal Oswal Midcap 100 ETF,16-JUN-2021
MOM50,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M50 ETF,Motilal Oswal Mutual Fund - Motilal Oswal M50 ETF,16-JUN-2021
MON100,Motilal Oswal Mutual Fund-Motilal Oswal MOSt Shares NASDAQ 100 ETF -GO,Motilal Oswal Mutual Fund - Motilal Oswal NASDAQ 100 ETF,16-JUN-2021
MONNETISPA,Monnet Ispat Limited,Monnet Ispat and Energy Limited,15-MAY-2012
MONSANTO,Monsanto Chemicals Of India Ltd.,Monsanto India Limited,02-AUG-2000
MPHASIS,Mphasis BFL Limited,MphasiS Limited,26-DEC-2006
MPSLTD,Macmillan India Limited,MPS Limited,11-SEP-2009
MRO-TEK,MRO-TEK Limited,MRO-TEK Realty Limited,25-JAN-2017
NACLIND,Nagarjuna Agrichem Limited,Nacl Industries Limited,29-SEP-2017
NACLIND,Nagarjuna Agrichem Limited,NACL Industries Limited,29-SEP-2017
NAHARPOLY,Nahar Investments and Holding Limited,Nahar Poly Films Limited,15-JUN-2011
NAM-INDIA,Reliance Nippon Life Asset Management Limited,Nippon Life India Asset Management Limited,23-JAN-2020
NARMADASUG,Narmada Sugar Ltd,Girdharilal Sugar and Allied Industries Limited,18-AUG-1998
NATNLSTEEL,National Steel Industries Ltd,National Steel And Agro Industries Limited,26-SEP-2002
NAVNETEDUL,Navneet Publications India Limited,Navneet Education Limited,19-SEP-2013
NBCC,National Buildings Construction Corporation Limited,NBCC (INDIA) LIMITED,07-JUN-2016
NBVENTURES,Nava Bharat Ferro Alloys Ltd,Nava Bharat Ventures Limited,31-JUL-2006
NCC,Nagarjuna Construction Company Limited,NCC Limited,15-MAR-2011
NDAFDVHDR,Reliance Mutual Fund - Reliance Dual Advantage FTF V- Plan H - DPDPO,NIPPON INDIA MUTUAL FUND - NIPPON INDIA Dual Ad FTF V- Plan H - DPDPO,30-OCT-2019
NDAFDVHGR,Reliance Mutual Fund - Reliance Dual Advantage FTF V- Plan H - DPGO,NIPPON INDIA MUTUAL FUND - NIPPON INDIA Dual Ad FTF V- Plan H - DPGO,30-OCT-2019
NDAFDVHGR,Reliance Mutual Fund - Reliance Dual Advantage FTF V- Plan H - DPGO,NIPPON INDIA MUTUAL FUND - NIPPON INDIA Dual Ad FTF V- Plan H - DPGO,30-OCT-2019
NDAFTFIVCD,Reliance Mutual Fund - Reliance DA-FTF IV-P-C-D,NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DA-FTF IV-P-C-D,30-OCT-2019
NDAFTFIVCG,Reliance Mutual Fund - Reliance DA-FTF IV-P-C-G,NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DA-FTF IV-P-C-G,30-OCT-2019
NDAFTFVCD,Reliance MF - Reliance Dual Adv FTF V - Pl C - DPO,NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF V - Pl C - DPO,30-OCT-2019
NDAFTFVCG,Reliance MF - Reliance Dual Adv FTF V - Pl C - GO,NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF V - Pl C - GO,30-OCT-2019
NDAFTIIPGD,Reliance Mutual Fund - Reliance DAFTF II - P - G - DP,NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DAFTF II - P - G - DP,30-OCT-2019
NDAFTIIPGG,Reliance Mutual Fund - Reliance DAFTF II - P - G - Growth,NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DAFTF II - P - G - Growth,30-OCT-2019
NDAFTIVCDD,Reliance Mutual Fund - Reliance DA-FTF IV-P-C-DD,NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DA-FTF IV-P-C-DD,30-OCT-2019
NDAFTIVCDG,Reliance Mutual Fund - Reliance DA-FTF IV-P-C-DG,NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DA-FTF IV-P-C-DG,30-OCT-2019
NDAFTVCDG,Reliance MF - Reliance Dual Adv FTF V - Pl C - DP-GO,NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF V - Pl C - DP-GO,30-OCT-2019
NDAFTVCDG,Reliance MF - Reliance Dual Adv FTF V - Pl C - DP-GO,NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF V - Pl C - DP-GO,30-OCT-2019
NDAFTVHDR,Reliance Mutual Fund - Reliance Dual Advantage FTF V- Plan H - DPO,NIPPON INDIA MUTUAL FUND - NIPPON INDIA Dual Ad FTF V- Plan H - DPO,30-OCT-2019
